Customer_ID,Synthetic_Name,Masked_Email,Masked_Phone,City,Country,Masked_Credit_Card,Masked_NID_SSN,Anonymized_Health_Token,Clinical_Diagnosis,Compliance_Standard
CUST-2026-0001,Allison Hill,"d***a@['donaldgarcia', 'example.net']",+1-219XXXXXX,Cassandraton,Saint Lucia,XXXX-XXXX-XXXX-3510,***-**-585,0d7e197344042191,Viral Fever,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0002,Calvin Nielsen,"a***a@['arnoldmaria', 'example.net']",(993)7XXXXXX,Port Leslieview,Bahrain,XXXX-XXXX-XXXX-4833,***-**-917,7d45b0baca3aada6,Type 2 Diabetes,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0003,Tommy Walter,"j***6@['jason76', 'example.net']",724.52XXXXXX,Kaylamouth,Bouvet Island (Bouvetoya),XXXX-XXXX-XXXX-7841,***-**-877,828f0a06b9512c3a,Seasonal Allergy,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0004,Christopher Smith,"t***8@['teresa28', 'example.org']",+1-948XXXXXX,Allisonchester,Croatia,XXXX-XXXX-XXXX-8220,***-**-008,75252c79b95a46a6,Type 2 Diabetes,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0005,Nicole Vaughn,"r***7@['raymond57', 'example.net']",213.33XXXXXX,Aguirreborough,Bhutan,XXXX-XXXX-XXXX-8291,***-**-982,67948ad69ae88309,General Checkup,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0006,Jeffrey Henderson,"d***s@['dshields', 'example.net']",+1-410XXXXXX,Barreraburgh,Hong Kong,XXXX-XXXX-XXXX-1326,***-**-887,0c32963ad345d049,Type 2 Diabetes,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0007,James House,"s***l@['smitchell', 'example.net']",+1-272XXXXXX,Lake Michellefurt,British Indian Ocean Territory (Chagos Archipelago),XXXX-XXXX-XXXX-2087,***-**-123,a24b02d9010a7de6,Migraine,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0008,Laura Riley,"h***t@['harveyrobert', 'example.net']",001-48XXXXXX,West Justin,Kazakhstan,XXXX-XXXX-XXXX-8387,***-**-719,c01fcc9dae1ba83c,Hypertension,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0009,Michele Carr,"c***a@['contrerasangela', 'example.net']",524-71XXXXXX,Arnoldchester,Monaco,XXXX-XXXX-XXXX-0529,***-**-648,79324a8b61fe43f2,Seasonal Allergy,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0010,Benjamin Ware,"a***t@['amydavenport', 'example.net']",+1-526XXXXXX,Port Thomasborough,Svalbard & Jan Mayen Islands,XXXX-XXXX-XXXX-5630,***-**-772,9ccdfb9fae5f145c,Asthma,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0011,Hannah Hoover,"j***r@['jeffreykeller', 'example.com']",641-24XXXXXX,West Ryan,Yemen,XXXX-XXXX-XXXX-9345,***-**-145,4dd98094d9922b01,Hypertension,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0012,Erin Edwards,"c***n@['cortezkevin', 'example.com']",+1-865XXXXXX,Jeffreyborough,Cameroon,XXXX-XXXX-XXXX-8952,***-**-849,40b2fd1704c707c8,Seasonal Allergy,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0013,David Alvarez,"g***a@['gibsonolivia', 'example.net']",567.46XXXXXX,Merrittfort,Korea,XXXX-XXXX-XXXX-5791,***-**-271,34f3b508a52b69d5,Asthma,GDPR (Art. 32) & HIPAA Verified
CUST-2026-0014,David Walsh,"r***s@['rsims', 'example.com']",443-54XXXXXX,Port Nicoleshire,Hong Kong,XXXX-XXXX-XXXX-0362,***-**-570,b7469e30fbc3487a,Seasonal Allergy,GDPR (Art. 32) & HIPAA Verified
